time, S,E, I, J, Q, R
66,76.32955710230206,645629.987823036,368759.4190654573,225297.39652064964,11137920.852212405,177622318.0148213
67,61.06364568184165,586951.6184778168,335263.1995557326,204838.55302668916,10455003.7753147,178417883.7899793
68,48.85091654547332,533604.5931635153,304806.63771023735,186235.07640227774,9810637.067876995,179164669.77393037
69,39.080733236378656,485104.85487741395,277114.48675208853,169319.1976286982,9202994.81551549,179865429.564493
70,31.264586589102926,441012.2296715691,251936.30641655857,153938.22050237123,8630297.641793018,180522786.3370298
71,25.01166927128234,400926.4617096533,229044.25069165247,139953.18685532524,8090816.920487559,181139236.16858646
72,20.009335417025873,364483.60388808453,208231.0481741624,127237.65610057574,7582878.019594682,181717151.662907
73,16.0074683336207,331352.732674433,189308.15921135675,115676.59009382848,7104862.703388208,182258785.80716377
74,12.80597466689656,301232.958470424,172104.09510619327,105165.33484975342,6655210.805335964,182766276.00026295
75,10.244779733517248,273850.7052589552,156462.88573604714,95608.69120142503,6232421.2723797,183241648.20064408
76,8.195823786813799,248957.23555499688,142242.6829619404,86920.0670347243,5835052.669953291,183686821.1486712
77,6.556659029451039,226326.39876020906,129314.48818100046,79020.70425784725,5461723.227045419,184103610.62509644
78,5.245327223560831,205752.58293199594,117560.99329576935,71838.97417417374,5111110.491528241,184493733.71274254
79,4.1962617788486645,187048.85173089558,106875.5252383721,65309.73541102921,4781950.657791882,184858813.03356597
80,3.3570094230789316,170045.2499168063,97161.08499522413,59373.74901510763,4473037.621369405,185200380.93769395
81,2.6856075384631453,154587.26223534488,88329.47282976413,53977.145756359845,4183221.8086362868,185519883.6249346
82,2.148486030770516,140534.41188091214,80300.49209826354,49070.94108562096,3911408.823754732,185818685.18269435
83,1.718788824616413,127758.98595258083,73001.22469923511,44610.59356737636,3656557.949743633,186098071.52724826
84,1.3750310596931303,116144.87644192931,66365.37179284278,40555.60295849696,3417680.5358313476,186359254.23794425
85,1.1000248477545043,105586.52631705676,60332.65397571657,36869.14442745918,3193838.2990369285,186603374.2762179
86,0.8800198782036034,95987.97120229388,54848.26560151986,33517.73570765873,2984141.5641765916,186831505.58329198
87,0.7040159025628827,87261.96800606098,49862.378401348426,30470.93425420933,2787747.4631606643,187044658.55216172
88,0.5632127220503061,79329.20262687231,45329.6899833805,27701.06172744177,2603858.111490579,187243783.37095892
89,0.45057017764024493,72117.56957606469,41209.01318088741,25182.95335956601,2431718.77724783,187429773.2360654
90,0.36045614211219595,65561.51700136707,37462.90257439871,22893.729975004855,2270616.055552768,187603467.43444023
91,0.28836491368975675,59601.451183380304,34057.314840014216,20812.590631102103,2119876.0594293587,187765654.29555115
92,0.2306919309518054,54183.19511241938,30961.299873954325,18920.624025554607,1978862.6362142414,187917074.0140818
93,0.1845535447614443,49257.49624058563,28146.719915685688,17200.636981265885,1846975.6170688586,188058421.34523997
94,0.14764283580915544,44779.578947604976,25587.99414045387,15636.998469554364,1723649.1057688587,188190348.1750306
95,0.11811426864732436,40708.737662753505,23261.866418759037,14215.49776989065,1608349.8117344317,188313465.9682998
96,0.09449141491785948,37007.96695262964,21147.19414704687,12923.215489635084,1500575.4312097747,188428348.09770942
97,0.07559313193428759,33643.625218855384,19224.75624234239,11748.40628157926,1399853.0795824653,188535532.05708155
98,0.06047450554743007,30585.128953949465,17477.078565289103,10680.392201375227,1305737.777038793,188635521.56276602
99,0.048379604437944056,27804.674780309713,15888.275192507688,9709.465742009888,1217810.989065281,188728788.54684022
100,0.03870368355035524,25276.986748929718,14443.904101681648,8826.801669131866,1135679.2227173373,188815775.04605916
