time, S,L, I, Q, R, D
56,2.6369001728032894e-09,215.99999988443594,-7.019502339271341,0.0,0.0,0.0
57,1.3184501838212592e-09,215.9999999229573,-6.518109353559041,0.0,0.0,0.0
58,6.592251371411684e-10,215.99999994863822,-6.052530139700011,0.0,0.0,0.0
59,3.296125895704788e-10,215.99999996575883,-5.620206575413462,0.0,0.0,0.0
60,1.648063045351911e-10,215.99999997717256,-5.218763260011954,0.0,0.0,0.0
61,8.240315679435911e-11,215.9999999847817,-4.845994463334534,0.0,0.0,0.0
62,4.1201580498891334e-11,215.99999998985447,-4.499852006740539,0.0,0.0,0.0
63,2.060079122524047e-11,215.99999999323632,-4.17843400964091,0.0,0.0,0.0
64,1.0300396065667845e-11,215.9999999954909,-3.879974439778266,0.0,0.0,0.0
65,5.150198243177465e-12,215.99999999699395,-3.602833409868566,0.0,0.0,0.0
66,2.575099219248238e-12,215.99999999799599,-3.3454881673085453,0.0,0.0,0.0
67,1.2875496549660342e-12,215.999999998664,-3.106524727454513,0.0,0.0,0.0
68,6.437748485346213e-13,215.99999999910935,-2.8846301045102507,0.0,0.0,0.0
69,3.2188743404127007e-13,215.99999999940624,-2.678585097342122,0.0,0.0,0.0
70,1.609437215585449e-13,215.99999999960417,-2.487257590587049,0.0,0.0,0.0
71,8.047186288615923e-14,215.99999999973613,-2.3095963342484964,0.0,0.0,0.0
72,4.0235932421277075e-14,215.9999999998241,-2.1446251676044312,0.0,0.0,0.0
73,2.0117966664801655e-14,215.99999999988273,-1.991437655691314,0.0,0.0,0.0
74,1.005898354326228e-14,215.99999999992184,-1.8491921088953092,0.0,0.0,0.0
75,5.029491869531102e-15,215.9999999999479,-1.7171069582859957,0.0,0.0,0.0
76,2.5147459802191057e-15,215.99999999996527,-1.594456461282931,0.0,0.0,0.0
77,1.2573730112129894e-15,215.99999999997686,-1.4805667140600178,0.0,0.0,0.0
78,6.28686515404519e-16,215.9999999999846,-1.374811948777733,0.0,0.0,0.0
79,3.1434326225134227e-16,215.99999999998974,-1.2766110952987475,0.0,0.0,0.0
80,1.571716332377453e-16,215.99999999999318,-1.185424588495124,0.0,0.0,0.0
81,7.858581759947853e-17,215.99999999999545,-1.1007514036048889,0.0,0.0,0.0
82,3.929290925502057e-17,215.999999999997,-1.0221263033489123,0.0,0.0,0.0
83,1.964645483889089e-17,215.999999999998,-0.9491172816821489,0.0,0.0,0.0
84,9.823227517586443e-18,215.9999999999987,-0.881323190134097,0.0,0.0,0.0
85,4.9116138043586855e-18,215.99999999999915,-0.8183715336963928,0.0,0.0,0.0
86,2.4558069233347368e-18,215.99999999999943,-0.7599164241469367,0.0,0.0,0.0
87,1.2279034714895158e-18,215.99999999999963,-0.7056366795652167,0.0,0.0,0.0
88,6.139517403050406e-19,215.99999999999977,-0.6552340595963955,0.0,0.0,0.0
89,3.0697587226979445e-19,215.99999999999986,-0.6084316267681658,0.0,0.0,0.0
90,1.5348793711791737e-19,215.99999999999991,-0.5649722248562057,0.0,0.0,0.0
91,7.674396901536089e-20,215.99999999999994,-0.5246170659379317,0.0,0.0,0.0
92,3.837198471958147e-20,215.99999999999997,-0.4871444183709599,0.0,0.0,0.0
93,1.9185992458173358e-20,216.0,-0.45234838848733716,0.0,0.0,0.0
94,9.592996274764325e-21,216.0,-0.4200377893096743,0.0,0.0,0.0
95,4.796498158589641e-21,216.0,-0.390035090073269,0.0,0.0,0.0
96,2.3982490891411497e-21,216.0,-0.3621754407823232,0.0,0.0,0.0
97,1.199124549142085e-21,216.0,-0.33630576644073074,0.0,0.0,0.0
98,5.995622766935293e-22,216.0,-0.31228392598067956,0.0,0.0,0.0
99,2.99781139332205e-22,216.0,-0.2899779312677708,0.0,0.0,0.0
100,1.4989057012362835e-22,216.0,-0.2692652218915015,0.0,0.0,0.0
